user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s043,3,fixed,0.5,0.5,1.0,0.0
s043,4,fixed,0.5,0.5002,0.9996,0.0
s043,5,fixed,0.5,0.5,1.0,0.0
s043,6,fixed,0.5,0.5,1.0,0.0
s043,7,fixed,0.5,0.5,1.0,0.0
s044,1,fixed,0.5,0.5026,0.9948,0.0
s044,2,fixed,0.5,0.5,1.0,0.0
s044,3,fixed,0.5,0.5224,0.9552,0.0
s044,4,fixed,0.5,0.5,1.0,0.0
s044,5,fixed,0.5,0.5,1.0,0.0
s044,6,fixed,0.5,0.5,1.0,0.0
s044,7,fixed,0.5,0.5,1.0,0.0
s046,1,fixed,0.5,0.5522,0.8956,0.0
s046,2,fixed,0.5,0.5848,0.8304,0.0
s046,3,fixed,0.5,0.5,1.0,0.0
s046,4,fixed,0.5,0.5,1.0,0.0
s046,5,fixed,0.5,0.5018,0.9964,0.0
s046,6,fixed,0.5,0.5,1.0,0.0
s046,7,fixed,0.5,0.5,1.0,0.0
s047,1,fixed,0.5,0.5,1.0,0.0
s047,2,fixed,0.5,0.6588,0.6824,0.0
s047,3,fixed,0.5,0.6124,0.7752,0.0
s047,4,fixed,0.5,0.6174,0.7652,0.0
s047,5,fixed,0.5,0.69,0.62,0.0
s047,6,fixed,0.5,0.6284,0.7432,0.0
s047,7,fixed,0.5,0.7174,0.5652,0.0
s048,1,fixed,0.5,0.5,1.0,0.0
s048,2,fixed,0.5,0.5694,0.8412,0.02
s048,3,fixed,0.5,0.6172,0.7456,0.02
s048,4,fixed,0.5,0.5,1.0,0.0
s048,5,fixed,0.5,0.5,1.0,0.0
s048,6,fixed,0.5,0.5628,0.8144,0.06
s048,7,fixed,0.5,0.5064,0.9872,0.0
s049,1,fixed,0.5,0.5,1.0,0.0
s049,2,fixed,0.5,0.5,1.0,0.0
s049,3,fixed,0.5,0.5,1.0,0.0
s049,4,fixed,0.5,0.5,1.0,0.0
s049,5,fixed,0.5,0.5432,0.9136,0.0
s049,6,fixed,0.5,0.5736,0.8528,0.0
s049,7,fixed,0.5,0.5122,0.9756,0.0
s050,1,fixed,0.5,0.5,1.0,0.0
s050,2,fixed,0.5,0.5,1.0,0.0
s050,3,fixed,0.5,0.5,1.0,0.0
s050,4,fixed,0.5,0.615,0.75,0.02
s050,5,fixed,0.5,0.596,0.808,0.0
s050,6,fixed,0.5,0.5,1.0,0.0
s050,7,fixed,0.5,0.5002,0.9996,0.0
s051,1,fixed,0.5,0.5854,0.8092,0.02
s051,2,fixed,0.5,0.5,1.0,0.0
s051,3,fixed,0.5,0.5,1.0,0.0
s051,4,fixed,0.5,0.5282,0.9436,0.0
s051,5,fixed,0.5,0.5,1.0,0.0
s051,6,fixed,0.5,0.594,0.812,0.0
s051,7,fixed,0.5,0.5556,0.8888,0.0
s052,1,fixed,0.5,0.5,1.0,0.0
s052,2,fixed,0.5,0.5,1.0,0.0
s052,3,fixed,0.5,0.5952,0.8096,0.0
s052,4,fixed,0.5,0.7,0.6,0.0
s052,5,fixed,0.5,0.5,1.0,0.0
s052,6,fixed,0.5,0.5268,0.9464,0.0
s052,7,fixed,0.5,0.7472,0.4856,0.02
s053,1,fixed,0.5,0.5792,0.8416,0.0
s053,2,fixed,0.5,0.5,1.0,0.0
s053,3,fixed,0.5,0.5,1.0,0.0
s053,4,fixed,0.5,0.5,1.0,0.0
s053,5,fixed,0.5,0.5,1.0,0.0
s053,6,fixed,0.5,0.518,0.964,0.0
s053,7,fixed,0.5,0.6446000000000001,0.7108,0.0
s054,1,fixed,0.5,0.7542,0.4716,0.02
s054,2,fixed,0.5,0.5751999999999999,0.8296,0.02
s054,3,fixed,0.5,0.5,1.0,0.0
s054,4,fixed,0.5,0.5826,0.8348,0.0
s054,5,fixed,0.5,0.5,1.0,0.0
s054,6,fixed,0.5,0.5,1.0,0.0
s054,7,fixed,0.5,0.554,0.892,0.0
s055,1,fixed,0.5,0.5,1.0,0.0
s055,2,fixed,0.5,0.552,0.896,0.0
s055,3,fixed,0.5,0.5,1.0,0.0
s055,4,fixed,0.5,0.5,1.0,0.0
s055,5,fixed,0.5,0.5,1.0,0.0
s055,6,fixed,0.5,0.5,1.0,0.0
s055,7,fixed,0.5,0.5,1.0,0.0
s056,1,fixed,0.5,0.5,1.0,0.0
s056,2,fixed,0.5,0.5,1.0,0.0
s056,3,fixed,0.5,0.577,0.846,0.0
s056,4,fixed,0.5,0.5,1.0,0.0
s056,5,fixed,0.5,0.6576,0.6848,0.0
s056,6,fixed,0.5,0.5,1.0,0.0
s056,7,fixed,0.5,0.5,1.0,0.0
s057,1,fixed,0.5,0.5012,0.9976,0.0
s057,2,fixed,0.5,0.5,1.0,0.0
s057,3,fixed,0.5,0.5,1.0,0.0
s057,4,fixed,0.5,0.5,1.0,0.0
s057,5,fixed,0.5,0.5,1.0,0.0
s057,6,fixed,0.5,0.5,1.0,0.0
s057,7,fixed,0.5,0.5,1.0,0.0
